%v|表示词根词缀的占位符
-|表示词缀。用于占位符的前面，表示后缀，用于占位符的岳，表示前缀
~|表示叠字。可用于占位符的两边，一般用于左边，比如 wrapper (`~-er`)
^|表示只能出现在单词的开头，用于占位符的前面，比如 `^to`
$|表示只能出现在单词的结尾，用于点位符的后面，比如 `-y$`
^$|表示只能出现在单词的开头或结尾，一般用来填充单词或词根
()|表示括号的内容可有可无，可用于占位符的两边，一般用于右边，比如 `wol(f)`, `(~)-er$`
